mass_A
t	x	y
0,000000000E0	-6,105925722E1	5,017080525E1
1,000000000E-2	-6,106984304E1	5,018768030E1
2,000000000E-2	-6,107239443E1	5,019331094E1
3,000000000E-2	-6,105050802E1	5,020898242E1
4,000000000E-2	-6,098066212E1	5,013861373E1
5,000000000E-2	-6,096293528E1	4,999913931E1
6,000000000E-2	-6,086043846E1	4,980314699E1
7,000000000E-2	-6,075333977E1	4,953857138E1
8,000000000E-2	-6,061193688E1	4,922553169E1
9,000000000E-2	-6,041570051E1	4,886330949E1
1,000000000E-1	-6,023708638E1	4,840974253E1
1,100000000E-1	-6,001966840E1	4,793125500E1
1,200000000E-1	-5,974990252E1	4,739231784E1
1,300000000E-1	-5,947358342E1	4,679502257E1
1,400000000E-1	-5,915543751E1	4,610364057E1
1,500000000E-1	-5,883486956E1	4,537586043E1
1,600000000E-1	-5,843502666E1	4,463985002E1
1,700000000E-1	-5,804581861E1	4,379857133E1
1,800000000E-1	-5,761223974E1	4,293767594E1
1,900000000E-1	-5,717678327E1	4,197215505E1
2,000000000E-1	-5,669893465E1	4,098960146E1
2,100000000E-1	-5,620524625E1	3,993521358E1
2,200000000E-1	-5,563937365E1	3,885774018E1
2,300000000E-1	-5,503237912E1	3,774420603E1
2,400000000E-1	-5,439966237E1	3,655084532E1
2,500000000E-1	-5,373259949E1	3,534422945E1
2,600000000E-1	-5,302740923E1	3,405719459E1
2,700000000E-1	-5,225850815E1	3,271355409E1
2,800000000E-1	-5,142461814E1	3,138826227E1
2,900000000E-1	-5,058441566E1	2,996216766E1
3,000000000E-1	-4,965754150E1	2,856486994E1
3,100000000E-1	-4,867119928E1	2,711230402E1
3,200000000E-1	-4,760960726E1	2,563991075E1
3,300000000E-1	-4,647966543E1	2,413590915E1
3,400000000E-1	-4,528985489E1	2,261346723E1
3,500000000E-1	-4,404191076E1	2,113546784E1
3,600000000E-1	-4,267623579E1	1,961587563E1
3,700000000E-1	-4,136173544E1	1,807986356E1
3,800000000E-1	-3,986640852E1	1,656241811E1
3,900000000E-1	-3,835008836E1	1,508173474E1
4,000000000E-1	-3,670994955E1	1,355502341E1
4,100000000E-1	-3,498580210E1	1,213951069E1
4,200000000E-1	-3,315623130E1	1,075641794E1
4,300000000E-1	-3,124904302E1	9,451195820E0
4,400000000E-1	-2,923816634E1	8,231091773E0
4,500000000E-1	-2,717593866E1	7,160671852E0
4,600000000E-1	-2,492258117E1	6,117590869E0
4,700000000E-1	-2,276455839E1	5,301225848E0
4,800000000E-1	-2,046127392E1	4,466005166E0
4,900000000E-1	-1,814868886E1	3,695182862E0
5,000000000E-1	-1,574728164E1	3,093596019E0
5,100000000E-1	-1,331564794E1	2,595711392E0
5,200000000E-1	-1,086208645E1	2,192330882E0
5,300000000E-1	-8,501447626E0	1,892791657E0
5,400000000E-1	-5,927135687E0	1,592866151E0
5,500000000E-1	-3,455608809E0	1,341324212E0
5,600000000E-1	-9,952849752E-1	1,191429949E0
5,700000000E-1	1,429354497E0	1,202941328E0
5,800000000E-1	3,844953966E0	1,197259299E0
