mass_A
t	x	y
0,000000000E0	-6,117961821E1	5,041152723E1
1,000000000E-2	-6,119042394E1	5,039938895E1
2,000000000E-2	-6,119248524E1	5,039387490E1
3,000000000E-2	-6,118653269E1	5,039724826E1
4,000000000E-2	-6,118653709E1	5,039836323E1
5,000000000E-2	-6,118444091E1	5,039840377E1
6,000000000E-2	-6,118665565E1	5,039854519E1
7,000000000E-2	-6,117727448E1	5,039518987E1
8,000000000E-2	-6,113905392E1	5,037662074E1
9,000000000E-2	-6,111212491E1	5,023417024E1
1,000000000E-1	-6,099146222E1	5,003882215E1
1,100000000E-1	-6,093245933E1	4,989253187E1
1,200000000E-1	-6,075526341E1	4,954826705E1
1,300000000E-1	-6,061587305E1	4,921126929E1
1,400000000E-1	-6,040123231E1	4,883570573E1
1,500000000E-1	-6,016584708E1	4,839792454E1
1,600000000E-1	-5,991478587E1	4,788616887E1
1,700000000E-1	-5,965267696E1	4,729425001E1
1,800000000E-1	-5,936003946E1	4,667378380E1
1,900000000E-1	-5,905072440E1	4,599600513E1
2,000000000E-1	-5,870217924E1	4,527581231E1
2,100000000E-1	-5,830174826E1	4,449737342E1
2,200000000E-1	-5,790097049E1	4,364883969E1
2,300000000E-1	-5,750160821E1	4,276811152E1
2,400000000E-1	-5,697693856E1	4,183997943E1
2,500000000E-1	-5,652205332E1	4,083093013E1
2,600000000E-1	-5,595438452E1	3,976729023E1
2,700000000E-1	-5,540678531E1	3,868434414E1
2,800000000E-1	-5,483847739E1	3,753539330E1
2,900000000E-1	-5,421370464E1	3,631644132E1
3,000000000E-1	-5,357950186E1	3,503949686E1
3,100000000E-1	-5,283272143E1	3,374296706E1
3,200000000E-1	-5,208397069E1	3,245298879E1
3,300000000E-1	-5,128251169E1	3,104531756E1
3,400000000E-1	-5,044798635E1	2,960357958E1
3,500000000E-1	-4,950962423E1	2,818351396E1
3,600000000E-1	-4,851725964E1	2,670448685E1
3,700000000E-1	-4,744622800E1	2,522686228E1
3,800000000E-1	-4,634116223E1	2,369708703E1
3,900000000E-1	-4,509963887E1	2,222684148E1
4,000000000E-1	-4,379591086E1	2,084110863E1
4,100000000E-1	-4,246403021E1	1,922705443E1
4,200000000E-1	-4,116736056E1	1,768299898E1
4,300000000E-1	-3,965146781E1	1,621968712E1
4,400000000E-1	-3,806068789E1	1,473031722E1
4,500000000E-1	-3,638585842E1	1,329069103E1
4,600000000E-1	-3,463015283E1	1,190082043E1
4,700000000E-1	-3,276177274E1	1,054100639E1
4,800000000E-1	-3,084333282E1	9,282159145E0
4,900000000E-1	-2,877290840E1	8,031781586E0
5,000000000E-1	-2,673487413E1	6,971540634E0
5,100000000E-1	-2,437564653E1	6,003010684E0
5,200000000E-1	-2,219993241E1	5,103384558E0
5,300000000E-1	-1,998553843E1	4,354089019E0
5,400000000E-1	-1,756995941E1	3,581421139E0
5,500000000E-1	-1,518019650E1	2,990638598E0
5,600000000E-1	-1,278025124E1	2,508028482E0
5,700000000E-1	-1,031294612E1	2,119788718E0
5,800000000E-1	-7,904055799E0	1,891077103E0
5,900000000E-1	-5,354701088E0	1,562096261E0
6,000000000E-1	-2,888250058E0	1,329379109E0
6,100000000E-1	-4,636863072E-1	1,193264763E0
6,200000000E-1	1,979987670E0	1,167146372E0
6,300000000E-1	4,408632649E0	1,177572185E0
6,400000000E-1	6,979630535E0	1,297400091E0
6,500000000E-1	9,194042059E0	1,437296569E0
6,600000000E-1	1,174943984E1	1,717085714E0
6,700000000E-1	1,417171022E1	2,019374808E0
6,800000000E-1	1,658700227E1	2,375960655E0
6,900000000E-1	1,895493427E1	2,868916032E0
7,000000000E-1	2,129833656E1	3,455075718E0
7,100000000E-1	2,356383126E1	4,165957462E0
7,200000000E-1	2,579258927E1	4,946222589E0
7,300000000E-1	2,792074733E1	5,764586570E0
7,400000000E-1	3,001527442E1	6,720946143E0
7,500000000E-1	3,209920601E1	7,726640270E0
7,600000000E-1	3,399864520E1	8,845594097E0
7,700000000E-1	3,583038185E1	1,001125752E1
7,800000000E-1	3,754275815E1	1,119785978E1
7,900000000E-1	3,919090452E1	1,246091498E1
8,000000000E-1	4,074950055E1	1,379698780E1
8,100000000E-1	4,225441563E1	1,519683833E1
8,200000000E-1	4,366551168E1	1,652309822E1
8,300000000E-1	4,500295213E1	1,783071769E1
8,400000000E-1	4,621083281E1	1,924378833E1
8,500000000E-1	4,742965709E1	2,056328529E1
8,600000000E-1	4,854319289E1	2,190127011E1
8,700000000E-1	4,960504306E1	2,324165186E1
8,800000000E-1	5,060984789E1	2,452951480E1
8,900000000E-1	5,151808543E1	2,582342291E1
9,000000000E-1	5,239361850E1	2,705218389E1
9,100000000E-1	5,322866275E1	2,825752738E1
9,200000000E-1	5,399156246E1	2,944584083E1
9,300000000E-1	5,474311291E1	3,060719704E1
9,400000000E-1	5,544663903E1	3,165945332E1
9,500000000E-1	5,612318288E1	3,270542229E1
9,600000000E-1	5,677812931E1	3,370028536E1
9,700000000E-1	5,737835888E1	3,465844471E1
9,800000000E-1	5,796810485E1	3,560397671E1
9,900000000E-1	5,847619983E1	3,652367448E1
1,000000000E0	5,895962536E1	3,740633600E1
1,010000000E0	5,942222324E1	3,822347668E1
1,020000000E0	5,980995823E1	3,899044027E1
1,030000000E0	6,020679658E1	3,970952238E1
1,040000000E0	6,057939288E1	4,034991167E1
1,050000000E0	6,090846818E1	4,091352884E1
1,060000000E0	6,122861398E1	4,148323501E1
1,070000000E0	6,149339669E1	4,197952833E1
1,080000000E0	6,174811125E1	4,241064010E1
1,090000000E0	6,194823209E1	4,282873794E1
1,100000000E0	6,213279767E1	4,318689535E1
1,110000000E0	6,227115782E1	4,345338599E1
1,120000000E0	6,240453668E1	4,367557054E1
1,130000000E0	6,245105795E1	4,380523641E1
1,140000000E0	6,251976620E1	4,392367235E1
1,150000000E0	6,253668090E1	4,393967825E1
1,160000000E0	6,254114526E1	4,392776974E1
1,170000000E0	6,253357527E1	4,389963268E1
1,180000000E0	6,248207640E1	4,375786849E1
1,190000000E0	6,232917225E1	4,355278685E1
1,200000000E0	6,220041261E1	4,331109290E1
1,210000000E0	6,206509686E1	4,304659748E1
1,220000000E0	6,185783913E1	4,269896009E1
1,230000000E0	6,162652180E1	4,231473805E1
1,240000000E0	6,136184708E1	4,187107543E1
1,250000000E0	6,109973199E1	4,137536846E1
1,260000000E0	6,077339797E1	4,080209451E1
