mass_A
t	x	y
0,000000000E0	-6,118365443E1	5,015434291E1
1,000000000E-2	-6,118566279E1	5,015955678E1
2,000000000E-2	-6,118337057E1	5,015875309E1
3,000000000E-2	-6,118176874E1	5,016040279E1
4,000000000E-2	-6,118462860E1	5,016217903E1
5,000000000E-2	-6,117815993E1	5,016030544E1
6,000000000E-2	-6,115354286E1	5,012793676E1
7,000000000E-2	-6,113365837E1	5,002107561E1
8,000000000E-2	-6,106071997E1	4,982900881E1
9,000000000E-2	-6,095120450E1	4,958871060E1
1,000000000E-1	-6,082476710E1	4,929855896E1
1,100000000E-1	-6,068199925E1	4,894848452E1
1,200000000E-1	-6,048317395E1	4,855770111E1
1,300000000E-1	-6,027188925E1	4,810596951E1
1,400000000E-1	-6,001777598E1	4,758440000E1
1,500000000E-1	-5,975146582E1	4,700944726E1
1,600000000E-1	-5,947490133E1	4,635354317E1
1,700000000E-1	-5,914738970E1	4,565591601E1
1,800000000E-1	-5,879539802E1	4,491687107E1
1,900000000E-1	-5,840926958E1	4,409838007E1
2,000000000E-1	-5,801563676E1	4,322344077E1
2,100000000E-1	-5,757170109E1	4,231162296E1
2,200000000E-1	-5,709721494E1	4,135724863E1
2,300000000E-1	-5,660366883E1	4,034113159E1
2,400000000E-1	-5,605371173E1	3,924166204E1
2,500000000E-1	-5,545546733E1	3,812388176E1
2,600000000E-1	-5,481323191E1	3,694697799E1
2,700000000E-1	-5,416542869E1	3,572297726E1
2,800000000E-1	-5,346735390E1	3,448546302E1
2,900000000E-1	-5,270810851E1	3,316438468E1
3,000000000E-1	-5,191709409E1	3,184615212E1
3,100000000E-1	-5,105543291E1	3,046611944E1
3,200000000E-1	-5,014012109E1	2,906007285E1
3,300000000E-1	-4,915943038E1	2,762459593E1
3,400000000E-1	-4,812988400E1	2,617837204E1
3,500000000E-1	-4,704828094E1	2,469790658E1
3,600000000E-1	-4,586788706E1	2,317653988E1
3,700000000E-1	-4,464479515E1	2,172564525E1
3,800000000E-1	-4,326862196E1	2,014503987E1
3,900000000E-1	-4,201247520E1	1,872313706E1
4,000000000E-1	-4,056078787E1	1,717176123E1
4,100000000E-1	-3,904397068E1	1,566006785E1
4,200000000E-1	-3,744604182E1	1,418291185E1
4,300000000E-1	-3,576313299E1	1,272257752E1
4,400000000E-1	-3,398249400E1	1,131652171E1
4,500000000E-1	-3,211319663E1	9,977939669E0
4,600000000E-1	-3,014894814E1	8,743119774E0
4,700000000E-1	-2,810286938E1	7,569113975E0
4,800000000E-1	-2,605416998E1	6,489895259E0
4,900000000E-1	-2,370014388E1	5,628613476E0
5,200000000E-1	-1,674247420E1	3,348693480E0
5,300000000E-1	-1,434510310E1	2,811467337E0
5,400000000E-1	-1,188543066E1	2,370166252E0
5,500000000E-1	-9,432892276E0	2,022280501E0
5,600000000E-1	-6,860064189E0	1,733351539E0
5,700000000E-1	-4,488770709E0	1,511167028E0
5,800000000E-1	-2,022939635E0	1,322810216E0
5,900000000E-1	4,635063617E-1	1,195647345E0
6,000000000E-1	2,951616977E0	1,223100335E0
6,100000000E-1	5,424970140E0	1,293584751E0
6,200000000E-1	7,809189214E0	1,422733164E0
6,300000000E-1	1,020191039E1	1,768298822E0
6,400000000E-1	1,260830758E1	1,924192186E0
6,500000000E-1	1,500124125E1	2,265245322E0
6,600000000E-1	1,739374726E1	2,698189316E0
6,700000000E-1	1,974720198E1	3,203345182E0
6,800000000E-1	2,203204864E1	3,829564515E0
6,900000000E-1	2,427319651E1	4,594155213E0
7,000000000E-1	2,642795379E1	5,403090415E0
7,100000000E-1	2,789179792E1	1,200310029E0
7,200000000E-1	3,063758020E1	7,226825558E0
7,300000000E-1	3,266225108E1	8,264437140E0
7,400000000E-1	3,459345607E1	9,442754332E0
7,500000000E-1	3,642417266E1	1,063878442E1
7,600000000E-1	3,816939013E1	1,189944258E1
7,700000000E-1	3,979965147E1	1,319689813E1
7,800000000E-1	4,133456805E1	1,451317457E1
7,900000000E-1	4,276497055E1	1,582882759E1
8,000000000E-1	4,414442033E1	1,719721567E1
8,100000000E-1	4,545753061E1	1,851337783E1
8,200000000E-1	4,664028878E1	1,997703196E1
8,300000000E-1	4,787387414E1	2,126721659E1
8,400000000E-1	4,900702660E1	2,261628801E1
8,500000000E-1	5,007050204E1	2,396828103E1
8,600000000E-1	5,104324701E1	2,525040793E1
8,700000000E-1	5,195746845E1	2,654324595E1
8,800000000E-1	5,285088718E1	2,779640739E1
8,900000000E-1	5,366237875E1	2,900111191E1
9,000000000E-1	5,440525382E1	3,018787330E1
9,100000000E-1	5,510605188E1	3,135406850E1
9,200000000E-1	5,578406045E1	3,246006346E1
9,300000000E-1	5,640290901E1	3,353699908E1
9,400000000E-1	5,695514003E1	3,456825260E1
9,500000000E-1	5,749539037E1	3,557469553E1
9,600000000E-1	5,798442294E1	3,651319595E1
9,700000000E-1	5,845070849E1	3,739880697E1
9,800000000E-1	5,885611433E1	3,824440064E1
9,900000000E-1	5,926487252E1	3,899505352E1
1,000000000E0	5,962992719E1	3,971564695E1
1,010000000E0	5,994924992E1	4,040347231E1
1,020000000E0	6,021574488E1	4,098512009E1
