0.0	-0.6118365443	0.5015434290999999
0.01	-0.6118566279000001	0.5015955678
0.02	-0.6118337057000001	0.5015875309
0.03	-0.6118176874	0.5016040279
0.04	-0.611846286	0.5016217903
0.05	-0.6117815993	0.5016030544
0.06	-0.6115354286	0.5012793676
0.07	-0.6113365837	0.5002107561
0.08	-0.6106071997	0.4982900881
0.09	-0.609512045	0.49588710599999997
0.1	-0.608247671	0.4929855896
0.11	-0.6068199925	0.4894848452
0.12	-0.6048317395	0.4855770111
0.13	-0.6027188925	0.4810596951
0.14	-0.6001777598	0.47584400000000004
0.15	-0.5975146582	0.47009447260000004
0.16	-0.5947490133	0.4635354317
0.17	-0.591473897	0.45655916009999997
0.18	-0.5879539802	0.4491687107
0.19	-0.5840926958	0.4409838007
0.2	-0.5801563676	0.43223440770000005
0.21	-0.5757170108999999	0.4231162296
0.22	-0.5709721494	0.4135724863
0.23	-0.5660366883	0.4034113159
0.24	-0.5605371173	0.3924166204
0.25	-0.5545546733	0.38123881760000006
0.26	-0.5481323191	0.3694697799
0.27	-0.5416542869	0.3572297726
0.28	-0.534673539	0.34485463019999996
0.29	-0.5270810851000001	0.3316438468
0.3	-0.5191709409	0.3184615212
0.31	-0.5105543291	0.3046611944
0.32	-0.5014012109	0.2906007285
0.33	-0.4915943038	0.2762459593
0.34	-0.48129883999999995	0.2617837204
0.35	-0.4704828094	0.2469790658
0.36	-0.4586788706	0.2317653988
0.37	-0.4464479515	0.2172564525
0.38	-0.4326862196	0.2014503987
0.39	-0.420124752	0.1872313706
0.4	-0.4056078787	0.17171761230000002
0.41	-0.3904397068	0.1566006785
0.42	-0.3744604182	0.1418291185
0.43	-0.3576313299	0.1272257752
0.44	-0.33982494	0.11316521709999999
0.45	-0.32113196629999996	0.09977939669
0.46	-0.30148948140000004	0.08743119774000001
0.47	-0.2810286938	0.07569113975
0.48	-0.2605416998	0.06489895259
0.49	-0.2370014388	0.05628613476
0.52	-0.16742474200000002	0.0334869348
0.53	-0.143451031	0.02811467337
0.54	-0.11885430660000001	0.023701662520000003
0.55	-0.09432892276	0.02022280501
0.56	-0.06860064189	0.017333515390000002
0.57	-0.04488770709	0.01511167028
0.58	-0.02022939635	0.01322810216
0.59	0.004635063617	0.01195647345
0.6	0.02951616977	0.01223100335
0.61	0.0542497014	0.012935847510000001
0.62	0.07809189214	0.01422733164
0.63	0.1020191039	0.01768298822
0.64	0.1260830758	0.01924192186
0.65	0.1500124125	0.02265245322
0.66	0.1739374726	0.026981893160000003
0.67	0.1974720198	0.03203345182
0.68	0.2203204864	0.03829564515
0.69	0.24273196509999997	0.045941552129999993
0.7	0.26427953790000003	0.05403090415
0.71	0.2789179792	0.012003100289999999
0.72	0.306375802	0.07226825558
0.73	0.3266225108	0.0826443714
0.74	0.3459345607	0.09442754332
0.75	0.36424172660000004	0.1063878442
0.76	0.38169390129999997	0.11899442580000001
0.77	0.3979965147	0.13196898129999998
0.78	0.41334568050000003	0.1451317457
0.79	0.42764970550000003	0.1582882759
0.8	0.4414442033	0.1719721567
0.81	0.45457530609999997	0.1851337783
0.82	0.4664028878	0.19977031960000002
0.83	0.4787387414	0.21267216590000002
0.84	0.49007026600000003	0.22616288010000002
0.85	0.5007050204	0.2396828103
0.86	0.5104324701	0.2525040793
0.87	0.5195746845	0.2654324595
0.88	0.5285088718000001	0.2779640739
0.89	0.5366237875000001	0.2900111191
0.9	0.5440525382	0.301878733
0.91	0.5510605188000001	0.313540685
0.92	0.5578406045	0.3246006346
0.93	0.5640290901	0.3353699908
0.94	0.5695514003000001	0.345682526
0.95	0.5749539037	0.3557469553
0.96	0.5798442294	0.3651319595
0.97	0.5845070848999999	0.37398806970000004
0.98	0.5885611433	0.38244400640000004
0.99	0.5926487252	0.3899505352
1.0	0.5962992719	0.3971564695
1.01	0.5994924992	0.4040347231
1.02	0.6021574488	0.40985120090000005
1.03	0.6050171329	0.4153161208
1.04	0.6073527659	0.4200419233
1.05	0.6095679834	0.4244134827
1.06	0.6117778526	0.42805884
1.07	0.613499801	0.4316410671
1.08	0.6154376815	0.43436552399999995
1.09	0.6169695047	0.43675573120000005
1.1	0.617894517	0.43883657319999997
1.11	0.618676801	0.4402330462
1.12	0.6192079285	0.44112926719999995
1.13	0.6195410048	0.4413999958
1.14	0.6196020927	0.44135116869999996
1.15	0.6195256027	0.4405029886
1.16	0.6191255098	0.4390780444
1.17	0.6182016255	0.4373368053
1.18	0.6170315785	0.4349826905
1.19	0.6157966482	0.43177608059999995
1.2	0.6142321297	0.4281045934
1.21	0.6123048707000001	0.42421727169999995
1.22	0.6099352426	0.4195181762
1.23	0.6075272487	0.41389678
1.24	0.6049308533	0.4080444249
1.25	0.6015878607	0.40172681429999996
1.26	0.5982803157	0.3947573075
1.27	0.5944330755	0.3872437905
1.28	0.5904522966	0.37903844470000003
1.29	0.5859870854	0.3705020908
1.3	0.5811816676	0.3613481192
1.31	0.5760662703	0.35188060649999997
1.32	0.5705985662999999	0.34187578449999995
1.33	0.5644823279	0.3314492737
1.34	0.5580383599000001	0.32054104780000003
1.35	0.5511261145	0.3090639818
1.36	0.5437825878	0.2971453549
1.37	0.5358931442	0.285198941
1.38	0.5273228765	0.2731669433
1.39	0.5180425182	0.2603908195
1.4	0.508247568	0.2474173427
1.41	0.49792950830000005	0.23435013940000002
1.42	0.48692079229999996	0.22099480710000002
1.43	0.47509441430000005	0.20704200849999999
1.44	0.46231568170000004	0.1942877317
1.45	0.4496483799	0.17979260190000002
1.46	0.4365557564	0.166515542
