mass_A
t	x	y
0,000000000E0	-6,105925722E1	5,005044426E1
1,000000000E-2	-6,106406298E1	5,006543785E1
2,000000000E-2	-6,107101102E1	5,006668495E1
3,000000000E-2	-6,107519563E1	5,006448866E1
4,000000000E-2	-6,106220789E1	5,007015910E1
5,000000000E-2	-6,104341618E1	5,007534554E1
6,000000000E-2	-6,099298073E1	5,007110943E1
7,000000000E-2	-6,096830333E1	4,997854487E1
8,000000000E-2	-6,088023128E1	4,984938708E1
9,000000000E-2	-6,078866769E1	4,960930500E1
1,000000000E-1	-6,065299260E1	4,936288943E1
1,100000000E-1	-6,047221401E1	4,900881079E1
1,200000000E-1	-6,029116478E1	4,863557735E1
1,300000000E-1	-6,007017928E1	4,822822347E1
1,400000000E-1	-5,980705137E1	4,774825386E1
1,500000000E-1	-5,951144582E1	4,718003674E1
1,600000000E-1	-5,922114105E1	4,657713751E1
1,700000000E-1	-5,881040810E1	4,594922745E1
1,800000000E-1	-5,844891887E1	4,523465419E1
1,900000000E-1	-5,803355323E1	4,446434781E1
2,000000000E-1	-5,761022159E1	4,366528324E1
2,100000000E-1	-5,720421644E1	4,275016930E1
2,200000000E-1	-5,669332272E1	4,183138145E1
2,300000000E-1	-5,624069664E1	4,083441515E1
2,400000000E-1	-5,566334604E1	3,980509953E1
2,500000000E-1	-5,509450079E1	3,872126704E1
2,600000000E-1	-5,450974501E1	3,753703595E1
2,700000000E-1	-5,385969510E1	3,635207282E1
2,800000000E-1	-5,316849526E1	3,512230005E1
2,900000000E-1	-5,247312308E1	3,380470739E1
3,000000000E-1	-5,170831211E1	3,248689377E1
3,100000000E-1	-5,086718030E1	3,113292404E1
3,200000000E-1	-5,002582327E1	2,971915067E1
3,300000000E-1	-4,910935355E1	2,826603046E1
3,400000000E-1	-4,812489364E1	2,679907012E1
3,500000000E-1	-4,708224634E1	2,532980795E1
3,600000000E-1	-4,599691315E1	2,381704846E1
3,700000000E-1	-4,482274272E1	2,229685955E1
3,800000000E-1	-4,358317169E1	2,080514553E1
3,900000000E-1	-4,219853342E1	1,933856572E1
4,000000000E-1	-4,083498921E1	1,778104283E1
4,100000000E-1	-3,936356999E1	1,624968786E1
4,200000000E-1	-3,779680340E1	1,477090150E1
4,300000000E-1	-3,614865493E1	1,333004441E1
4,400000000E-1	-3,442354471E1	1,188838136E1
4,500000000E-1	-3,258007583E1	1,056535038E1
4,600000000E-1	-3,066462045E1	9,282846933E0
4,700000000E-1	-2,860926486E1	8,032099309E0
4,800000000E-1	-2,661301914E1	6,940553102E0
4,900000000E-1	-2,427895370E1	5,967211897E0
5,000000000E-1	-2,206567688E1	5,071631331E0
5,100000000E-1	-1,987799509E1	4,300198889E0
5,200000000E-1	-1,746429573E1	3,488586995E0
5,300000000E-1	-1,505139636E1	2,896289860E0
5,400000000E-1	-1,263355602E1	2,404135598E0
5,500000000E-1	-1,019509017E1	1,999497892E0
5,600000000E-1	-7,758190306E0	1,768486515E0
5,700000000E-1	-5,203834400E0	1,425376063E0
5,800000000E-1	-2,704464454E0	1,197296294E0
5,900000000E-1	-2,295329260E-1	1,059926151E0
6,000000000E-1	2,276741008E0	1,011636203E0
6,100000000E-1	4,765096185E0	1,067102019E0
6,200000000E-1	7,312613563E0	1,211439953E0
6,300000000E-1	9,550286214E0	1,323794007E0
6,400000000E-1	1,214368050E1	1,667662144E0
6,500000000E-1	1,458900470E1	2,004285692E0
6,600000000E-1	1,699540333E1	2,417139852E0
6,700000000E-1	1,937709432E1	2,939990850E0
6,800000000E-1	2,168460347E1	3,511668550E0
6,900000000E-1	2,392528038E1	4,279874425E0
7,000000000E-1	2,614025106E1	5,154801599E0
7,100000000E-1	2,830890643E1	6,125528156E0
7,200000000E-1	3,030339352E1	6,939125808E0
7,300000000E-1	3,230521045E1	8,002979911E0
7,400000000E-1	3,424228522E1	9,159008662E0
7,500000000E-1	3,606924636E1	1,036108904E1
7,600000000E-1	3,777940637E1	1,163197471E1
7,700000000E-1	3,944401401E1	1,288811828E1
7,800000000E-1	4,100626913E1	1,421893718E1
7,900000000E-1	4,244210388E1	1,559883911E1
8,000000000E-1	4,387143940E1	1,692718740E1
8,100000000E-1	4,518089606E1	1,824377552E1
8,200000000E-1	4,641161476E1	1,962513791E1
8,300000000E-1	4,756329325E1	2,092328178E1
8,400000000E-1	4,869454253E1	2,222623192E1
8,500000000E-1	4,979576846E1	2,353769136E1
8,600000000E-1	5,085528930E1	2,484612020E1
8,700000000E-1	5,188189238E1	2,614067631E1
8,800000000E-1	5,280380261E1	2,739286878E1
8,900000000E-1	5,372882849E1	2,862508246E1
9,000000000E-1	5,457988738E1	2,983161547E1
9,100000000E-1	5,535458774E1	3,102145998E1
9,200000000E-1	5,609242046E1	3,215111742E1
9,300000000E-1	5,677391224E1	3,324653640E1
9,400000000E-1	5,739535000E1	3,429005658E1
9,500000000E-1	5,799966429E1	3,529689772E1
9,600000000E-1	5,856306191E1	3,625262324E1
9,700000000E-1	5,907975336E1	3,716550549E1
9,800000000E-1	5,954877545E1	3,802202347E1
9,900000000E-1	5,998104476E1	3,882750176E1
1,000000000E0	6,036338240E1	3,958218777E1
1,010000000E0	6,072738408E1	4,028254664E1
1,020000000E0	6,102456217E1	4,089449720E1
1,030000000E0	6,131869531E1	4,146118583E1
1,040000000E0	6,158713029E1	4,197911964E1
1,050000000E0	6,181324961E1	4,241448157E1
1,060000000E0	6,200799310E1	4,284293020E1
1,070000000E0	6,217168591E1	4,321607329E1
1,080000000E0	6,231128313E1	4,354808456E1
1,090000000E0	6,241446673E1	4,381774692E1
1,100000000E0	6,250677226E1	4,403615212E1
1,110000000E0	6,256020847E1	4,418335601E1
1,120000000E0	6,258918355E1	4,427593353E1
1,130000000E0	6,256951278E1	4,431448663E1
1,140000000E0	6,255168738E1	4,429656683E1
1,150000000E0	6,253337540E1	4,426733476E1
1,160000000E0	6,243358447E1	4,415121327E1
1,170000000E0	6,229364567E1	4,394865147E1
1,180000000E0	6,214060134E1	4,369640302E1
1,190000000E0	6,197163392E1	4,339950623E1
1,200000000E0	6,175867806E1	4,304820271E1
1,210000000E0	6,151848677E1	4,262106999E1
1,220000000E0	6,125127096E1	4,218047947E1
1,230000000E0	6,097626192E1	4,167746424E1
1,240000000E0	6,066745155E1	4,112985475E1
1,250000000E0	6,035526580E1	4,052591240E1
1,260000000E0	6,002221095E1	3,985408177E1
1,270000000E0	5,966633278E1	3,912267036E1
1,280000000E0	5,928529984E1	3,835893547E1
1,290000000E0	5,889585607E1	3,751468710E1
1,300000000E0	5,845898121E1	3,664086707E1
1,310000000E0	5,797976389E1	3,571355188E1
1,320000000E0	5,747904311E1	3,472884506E1
1,330000000E0	5,690801430E1	3,371937095E1
1,340000000E0	5,628092233E1	3,266084143E1
1,350000000E0	5,564744696E1	3,155060551E1
1,360000000E0	5,493448362E1	3,038990963E1
1,370000000E0	5,419763500E1	2,918270079E1
1,380000000E0	5,339827616E1	2,798672510E1
1,390000000E0	5,255126763E1	2,672435997E1
1,400000000E0	5,159663693E1	2,545983402E1
1,410000000E0	5,061076613E1	2,415127452E1
1,420000000E0	4,955753364E1	2,283743949E1
1,430000000E0	4,843785670E1	2,147939773E1
1,440000000E0	4,725599870E1	2,014045388E1
1,450000000E0	4,604838885E1	1,868608302E1
1,460000000E0	4,475777307E1	1,735574334E1
1,470000000E0	4,336741959E1	1,597158477E1
1,480000000E0	4,194063092E1	1,465356395E1
1,490000000E0	4,042008503E1	1,336020303E1
1,500000000E0	3,876047200E1	1,206395423E1
1,510000000E0	3,703047715E1	1,078580628E1
1,520000000E0	3,524232720E1	9,616911742E0
1,530000000E0	3,337936890E1	8,442447525E0
1,540000000E0	3,141464455E1	7,375984165E0
1,550000000E0	2,942762539E1	6,413198688E0
1,560000000E0	2,724441530E1	5,403841475E0
1,570000000E0	2,518837545E1	4,634561489E0
1,580000000E0	2,301375977E1	3,892684939E0
1,590000000E0	2,078135182E1	3,248940282E0
1,600000000E0	1,849437350E1	2,737899614E0
1,610000000E0	1,619078769E1	2,287692606E0
1,620000000E0	1,384579841E1	1,921940365E0
1,630000000E0	1,154378031E1	1,659468311E0
1,640000000E0	9,109671409E0	1,402149349E0
1,650000000E0	6,927811444E0	1,247164500E0
1,660000000E0	4,518241773E0	1,155942565E0
1,670000000E0	2,133996792E0	1,100601599E0
1,680000000E0	-2,096931506E-1	1,166770928E0
1,690000000E0	-2,555975068E0	1,273397327E0
1,700000000E0	-4,907180363E0	1,464747804E0
1,710000000E0	-7,221236123E0	1,741349087E0
1,720000000E0	-9,563734059E0	1,996475712E0
1,730000000E0	-1,189246922E1	2,355151160E0
1,740000000E0	-1,419759108E1	2,751110167E0
1,750000000E0	-1,649218223E1	3,282398824E0
1,760000000E0	-1,871000948E1	3,866922901E0
1,770000000E0	-2,081562898E1	4,590416443E0
1,780000000E0	-2,295226528E1	5,379978059E0
1,790000000E0	-2,494056528E1	6,156216550E0
1,800000000E0	-2,700480152E1	7,065906438E0
1,810000000E0	-2,896280229E1	8,077410185E0
1,820000000E0	-3,075717621E1	9,202458107E0
1,830000000E0	-3,249475717E1	1,029440746E1
1,840000000E0	-3,411199249E1	1,152236849E1
1,850000000E0	-3,567888980E1	1,275450146E1
1,860000000E0	-3,713684394E1	1,405504970E1
1,870000000E0	-3,853649408E1	1,534673486E1
1,880000000E0	-3,985593923E1	1,667391012E1
1,890000000E0	-4,111320451E1	1,801170962E1
1,900000000E0	-4,218723004E1	1,937398550E1
1,910000000E0	-4,334271485E1	2,068152746E1
1,920000000E0	-4,449137385E1	2,189302997E1
1,930000000E0	-4,551076117E1	2,311002124E1
1,940000000E0	-4,643499859E1	2,440581079E1
1,950000000E0	-4,731504922E1	2,561115691E1
1,960000000E0	-4,815348874E1	2,680194666E1
1,970000000E0	-4,891842698E1	2,799044111E1
1,980000000E0	-4,964284476E1	2,911555340E1
1,990000000E0	-5,034259048E1	3,019470420E1
2,000000000E0	-5,096354007E1	3,124961868E1
2,010000000E0	-5,155567637E1	3,224394886E1
2,020000000E0	-5,212765391E1	3,320398739E1
2,030000000E0	-5,265608361E1	3,414244971E1
2,040000000E0	-5,312886667E1	3,500626535E1
2,050000000E0	-5,358273819E1	3,582145527E1
2,060000000E0	-5,397662579E1	3,657916694E1
2,070000000E0	-5,434194448E1	3,728996504E1
2,080000000E0	-5,468428418E1	3,797053186E1
2,090000000E0	-5,501885449E1	3,858742078E1
2,100000000E0	-5,529106758E1	3,917100384E1
2,110000000E0	-5,554759477E1	3,969569118E1
2,120000000E0	-5,576682152E1	4,016370016E1
2,130000000E0	-5,599283364E1	4,055405956E1
2,140000000E0	-5,615772723E1	4,091171773E1
2,150000000E0	-5,633262850E1	4,118039227E1
2,160000000E0	-5,646065722E1	4,140624977E1
2,170000000E0	-5,652551318E1	4,162081023E1
2,180000000E0	-5,660885271E1	4,174760976E1
2,190000000E0	-5,662863005E1	4,185207270E1
2,200000000E0	-5,665527576E1	4,187681806E1
2,210000000E0	-5,663057853E1	4,186847531E1
2,220000000E0	-5,661766766E1	4,178152778E1
2,230000000E0	-5,656818714E1	4,162308484E1
2,240000000E0	-5,647454897E1	4,146284662E1
2,250000000E0	-5,636454860E1	4,124760595E1
2,260000000E0	-5,624555794E1	4,091940926E1
2,270000000E0	-5,608181753E1	4,056494944E1
2,280000000E0	-5,587905900E1	4,017493261E1
2,290000000E0	-5,565290349E1	3,970702454E1
2,300000000E0	-5,540264152E1	3,920879861E1
2,310000000E0	-5,513629144E1	3,862401913E1
2,320000000E0	-5,481138976E1	3,800795065E1
2,330000000E0	-5,445642468E1	3,730812691E1
2,340000000E0	-5,408837100E1	3,658188562E1
2,350000000E0	-5,369666418E1	3,582693853E1
2,360000000E0	-5,324613732E1	3,499437235E1
2,370000000E0	-5,277393154E1	3,410558980E1
2,380000000E0	-5,226123938E1	3,318770944E1
2,390000000E0	-5,169340840E1	3,221290100E1
2,400000000E0	-5,109782758E1	3,117642282E1
2,410000000E0	-5,046114107E1	3,009446159E1
2,420000000E0	-4,976583516E1	2,899874136E1
2,430000000E0	-4,903846612E1	2,786301641E1
2,440000000E0	-4,826928915E1	2,668032184E1
2,450000000E0	-4,744039281E1	2,547973276E1
2,460000000E0	-4,652499288E1	2,426738653E1
2,470000000E0	-4,556419751E1	2,299982538E1
2,480000000E0	-4,453050458E1	2,176292692E1
2,490000000E0	-4,345202996E1	2,057089136E1
2,500000000E0	-4,225488233E1	1,926629193E1
2,510000000E0	-4,114200187E1	1,789761787E1
2,520000000E0	-3,984435214E1	1,658105524E1
2,530000000E0	-3,849943606E1	1,526175073E1
2,540000000E0	-3,709456232E1	1,398402327E1
2,550000000E0	-3,555275532E1	1,272548548E1
2,560000000E0	-3,397172846E1	1,150823051E1
2,570000000E0	-3,231049400E1	1,033324527E1
2,580000000E0	-3,057612994E1	9,157277928E0
2,590000000E0	-2,872151003E1	8,073366958E0
2,600000000E0	-2,682521743E1	7,074939715E0
2,610000000E0	-2,475297808E1	6,134638883E0
2,620000000E0	-2,278686066E1	5,352242768E0
2,630000000E0	-2,073479909E1	4,588725455E0
2,640000000E0	-1,867144479E1	3,861591085E0
2,650000000E0	-1,650647807E1	3,279712802E0
2,660000000E0	-1,432557384E1	2,762703184E0
2,670000000E0	-1,209179930E1	2,352954397E0
2,680000000E0	-9,847490971E0	2,030065134E0
2,690000000E0	-7,618840596E0	1,808920900E0
2,700000000E0	-5,336669678E0	1,506287513E0
2,710000000E0	-3,076100522E0	1,315833896E0
2,720000000E0	-8,030930192E-1	1,165523710E0
2,730000000E0	1,469036642E0	1,140367818E0
2,740000000E0	3,762007700E0	1,168642857E0
2,750000000E0	6,015717472E0	1,223758376E0
2,760000000E0	8,333505227E0	1,379471127E0
2,770000000E0	1,046248274E1	1,673514625E0
2,780000000E0	1,272788627E1	1,856664079E0
2,790000000E0	1,488045144E1	2,150436449E0
2,800000000E0	1,705519385E1	2,518184025E0
2,810000000E0	1,922006604E1	2,959201089E0
2,820000000E0	2,132507356E1	3,499082843E0
2,830000000E0	2,339869947E1	4,099238409E0
2,840000000E0	2,543277925E1	4,795141550E0
2,850000000E0	2,728152019E1	5,487651451E0
2,860000000E0	2,932588282E1	6,404947539E0
2,870000000E0	3,114903101E1	7,235371913E0
2,880000000E0	3,292897049E1	8,180484392E0
2,890000000E0	3,463292577E1	9,212467279E0
2,900000000E0	3,631346167E1	1,025351242E1
2,910000000E0	3,787767811E1	1,135213169E1
2,920000000E0	3,934971589E1	1,248367296E1
2,930000000E0	4,079809038E1	1,363001576E1
2,940000000E0	4,216441580E1	1,477277832E1
2,950000000E0	4,344941302E1	1,597442856E1
2,960000000E0	4,467479005E1	1,716367650E1
2,970000000E0	4,581657211E1	1,829347769E1
2,980000000E0	4,668633742E1	1,960084684E1
2,990000000E0	4,783648538E1	2,053085556E1
3,000000000E0	4,881502988E1	2,166173149E1
3,010000000E0	4,975051815E1	2,276860636E1
3,020000000E0	5,062206025E1	2,383046869E1
3,030000000E0	5,142247510E1	2,488566180E1
3,040000000E0	5,219326199E1	2,591221577E1
3,050000000E0	5,292113627E1	2,687950079E1
3,060000000E0	5,359691072E1	2,780318041E1
3,070000000E0	5,423701876E1	2,871738425E1
3,080000000E0	5,480969997E1	2,958893685E1
3,090000000E0	5,535487046E1	3,042974812E1
3,100000000E0	5,581648471E1	3,120492631E1
3,110000000E0	5,628233159E1	3,193874694E1
3,120000000E0	5,667690531E1	3,264119050E1
3,130000000E0	5,709681429E1	3,330821896E1
3,140000000E0	5,742597599E1	3,390568464E1
3,150000000E0	5,772621490E1	3,445790216E1
3,160000000E0	5,798155221E1	3,492751136E1
3,170000000E0	5,822225546E1	3,536409026E1
3,180000000E0	5,845033194E1	3,575326143E1
