mass_A
t	x	y
0,000000000E0	-6,117961821E1	5,029116624E1
1,000000000E-2	-6,118144935E1	5,029110798E1
2,000000000E-2	-6,117406165E1	5,026903445E1
3,000000000E-2	-6,110842851E1	5,017181149E1
4,000000000E-2	-6,105809897E1	5,004654361E1
5,000000000E-2	-6,093189032E1	4,985562054E1
6,000000000E-2	-6,084354445E1	4,958309438E1
7,000000000E-2	-6,067208883E1	4,926308470E1
8,000000000E-2	-6,050888682E1	4,886748815E1
9,000000000E-2	-6,032425843E1	4,847703206E1
1,000000000E-1	-6,007953168E1	4,800557139E1
1,100000000E-1	-5,983166577E1	4,744369892E1
1,200000000E-1	-5,957269481E1	4,680826851E1
1,300000000E-1	-5,923566232E1	4,616381245E1
1,400000000E-1	-5,889187962E1	4,545794008E1
1,500000000E-1	-5,855454925E1	4,468401372E1
1,600000000E-1	-5,818354032E1	4,382420135E1
1,700000000E-1	-5,777466690E1	4,294414002E1
1,800000000E-1	-5,732796744E1	4,200975382E1
1,900000000E-1	-5,684216372E1	4,102443337E1
2,000000000E-1	-5,634763486E1	3,996468026E1
2,100000000E-1	-5,578321441E1	3,888493535E1
2,200000000E-1	-5,517482593E1	3,776165056E1
2,300000000E-1	-5,455109731E1	3,656435475E1
2,400000000E-1	-5,387314155E1	3,534729611E1
2,500000000E-1	-5,317432068E1	3,406442437E1
2,600000000E-1	-5,239902664E1	3,269718015E1
2,700000000E-1	-5,158814801E1	3,137984808E1
2,800000000E-1	-5,072203402E1	2,994787052E1
2,900000000E-1	-4,981508608E1	2,851599494E1
3,000000000E-1	-4,884216124E1	2,708655783E1
3,100000000E-1	-4,779185263E1	2,560587617E1
3,200000000E-1	-4,668796453E1	2,414025072E1
3,300000000E-1	-4,551015621E1	2,263989686E1
3,400000000E-1	-4,413359849E1	2,119785169E1
3,500000000E-1	-4,282401487E1	1,962428455E1
3,600000000E-1	-4,145564762E1	1,812825213E1
3,700000000E-1	-3,996573288E1	1,659129864E1
3,800000000E-1	-3,841871115E1	1,510540963E1
3,900000000E-1	-3,676550772E1	1,365188894E1
4,000000000E-1	-3,503876788E1	1,222149168E1
4,100000000E-1	-3,322195205E1	1,086628511E1
4,200000000E-1	-3,129546641E1	9,560376733E0
4,300000000E-1	-2,929649075E1	8,319140846E0
4,400000000E-1	-2,716901313E1	7,188913741E0
4,500000000E-1	-2,486767331E1	6,134020801E0
4,600000000E-1	-2,273450906E1	5,287638702E0
4,700000000E-1	-2,044054536E1	4,443118759E0
4,800000000E-1	-1,813868732E1	3,659165437E0
4,900000000E-1	-1,573227593E1	3,069221041E0
5,000000000E-1	-1,328685879E1	2,562985580E0
5,100000000E-1	-1,084471868E1	2,129656115E0
5,200000000E-1	-8,492293856E0	1,804212030E0
5,300000000E-1	-5,887400581E0	1,516935775E0
5,400000000E-1	-3,421704551E0	1,295391757E0
5,500000000E-1	-9,340326235E-1	1,118787636E0
5,600000000E-1	1,560375354E0	1,056585618E0
5,700000000E-1	4,053417485E0	1,085242153E0
5,800000000E-1	6,561541285E0	1,161653484E0
5,900000000E-1	8,959728770E0	1,363456000E0
6,000000000E-1	1,152444531E1	1,610028552E0
6,100000000E-1	1,389666126E1	1,925208401E0
6,200000000E-1	1,632283612E1	2,352311680E0
6,300000000E-1	1,871118753E1	2,826291908E0
6,400000000E-1	2,102995393E1	3,435876227E0
6,500000000E-1	2,330361291E1	4,133561018E0
6,600000000E-1	2,553457460E1	4,930072026E0
6,700000000E-1	2,761400104E1	5,682871461E0
6,800000000E-1	2,976299106E1	6,734442772E0
6,900000000E-1	3,176766957E1	7,718617149E0
7,000000000E-1	3,367540990E1	8,875757957E0
7,100000000E-1	3,556163561E1	1,000980744E1
7,200000000E-1	3,729693606E1	1,125697350E1
7,300000000E-1	3,899140023E1	1,253108791E1
7,400000000E-1	4,061082544E1	1,381198281E1
7,500000000E-1	4,214085500E1	1,518615191E1
7,600000000E-1	4,360996556E1	1,648668745E1
7,700000000E-1	4,498286987E1	1,783108215E1
7,800000000E-1	4,625115079E1	1,921319754E1
7,900000000E-1	4,750268757E1	2,054388903E1
8,000000000E-1	4,869444134E1	2,191811064E1
8,100000000E-1	4,979250113E1	2,327305096E1
8,200000000E-1	5,085804808E1	2,460401207E1
8,300000000E-1	5,184387906E1	2,592065620E1
8,400000000E-1	5,280404913E1	2,719168585E1
8,500000000E-1	5,371526140E1	2,841772035E1
8,600000000E-1	5,454247812E1	2,964719886E1
8,700000000E-1	5,531354298E1	3,080209509E1
8,800000000E-1	5,603178328E1	3,196640522E1
8,900000000E-1	5,669753430E1	3,308242869E1
9,000000000E-1	5,731492226E1	3,415898194E1
9,100000000E-1	5,788220032E1	3,516665403E1
9,200000000E-1	5,844657248E1	3,610888226E1
9,300000000E-1	5,894561481E1	3,704707858E1
9,400000000E-1	5,941680297E1	3,792977458E1
9,500000000E-1	5,986298481E1	3,874647289E1
9,600000000E-1	6,027994245E1	3,952476678E1
9,700000000E-1	6,066016951E1	4,025690928E1
9,800000000E-1	6,100329428E1	4,092303003E1
9,900000000E-1	6,132194226E1	4,153878014E1
1,000000000E0	6,162056961E1	4,208368783E1
1,010000000E0	6,186177971E1	4,259174076E1
1,020000000E0	6,208196238E1	4,305913016E1
1,030000000E0	6,229739834E1	4,344951616E1
1,040000000E0	6,247134945E1	4,377859811E1
1,050000000E0	6,260742090E1	4,404397827E1
1,060000000E0	6,271566031E1	4,427113934E1
1,070000000E0	6,278925881E1	4,444188199E1
1,080000000E0	6,285697569E1	4,453524210E1
1,090000000E0	6,292256298E1	4,460753432E1
1,100000000E0	6,292419491E1	4,462716276E1
1,110000000E0	6,292406107E1	4,460810925E1
1,120000000E0	6,286435179E1	4,451082429E1
1,130000000E0	6,274465134E1	4,430305635E1
1,140000000E0	6,265123142E1	4,404892858E1
1,150000000E0	6,252099260E1	4,379677491E1
1,160000000E0	6,231238316E1	4,343807480E1
1,170000000E0	6,210370667E1	4,305772694E1
1,180000000E0	6,186871803E1	4,259529193E1
1,190000000E0	6,160623668E1	4,210364460E1
1,200000000E0	6,132588911E1	4,153679632E1
1,210000000E0	6,099736192E1	4,091419202E1
1,220000000E0	6,064026811E1	4,025486779E1
1,230000000E0	6,027217013E1	3,954228883E1
1,240000000E0	5,987230913E1	3,874624505E1
1,250000000E0	5,942059993E1	3,790604854E1
1,260000000E0	5,895154857E1	3,703080258E1
1,270000000E0	5,844922412E1	3,609515753E1
1,280000000E0	5,787072780E1	3,512109668E1
1,290000000E0	5,727153811E1	3,409972035E1
1,300000000E0	5,665142221E1	3,299587748E1
1,310000000E0	5,595893095E1	3,186783472E1
1,320000000E0	5,524470863E1	3,069451107E1
1,330000000E0	5,447356039E1	2,948824532E1
1,340000000E0	5,363027126E1	2,826992886E1
1,350000000E0	5,271961712E1	2,703599550E1
1,360000000E0	5,175713846E1	2,573162755E1
1,370000000E0	5,075550480E1	2,441545567E1
1,380000000E0	4,967475068E1	2,308380674E1
1,390000000E0	4,856135700E1	2,170005451E1
1,400000000E0	4,736104516E1	2,030522990E1
1,410000000E0	4,610405666E1	1,893839146E1
1,420000000E0	4,477011971E1	1,760510970E1
1,430000000E0	4,339487699E1	1,621762944E1
1,440000000E0	4,190608702E1	1,489672648E1
1,450000000E0	4,032939941E1	1,356203353E1
1,460000000E0	3,871028629E1	1,223400779E1
1,470000000E0	3,701329418E1	1,096490935E1
1,480000000E0	3,524590557E1	9,775231377E0
1,490000000E0	3,343192229E1	8,634982439E0
1,500000000E0	3,152082898E1	7,520016265E0
1,510000000E0	2,952814711E1	6,501674431E0
1,520000000E0	2,737407841E1	5,497830289E0
1,530000000E0	2,538173351E1	4,735103115E0
1,540000000E0	2,319174326E1	3,949288134E0
1,550000000E0	2,097658294E1	3,264946386E0
1,560000000E0	1,869498603E1	2,701214336E0
1,570000000E0	1,639716286E1	2,211410604E0
1,580000000E0	1,405300059E1	1,843891302E0
1,590000000E0	1,170717398E1	1,542826206E0
1,600000000E0	9,217753833E0	1,262800970E0
1,610000000E0	7,022305164E0	1,100044728E0
1,620000000E0	4,542729194E0	9,643620221E-1
1,630000000E0	2,143581608E0	9,213617419E-1
1,640000000E0	-2,583088034E-1	9,737585424E-1
1,650000000E0	-2,647056291E0	1,074154883E0
1,660000000E0	-4,969940132E0	1,283663943E0
1,670000000E0	-7,193516992E0	1,539624740E0
1,680000000E0	-9,593488956E0	1,830474330E0
1,690000000E0	-1,192347178E1	2,174305182E0
1,700000000E0	-1,423795411E1	2,595597477E0
1,710000000E0	-1,651382790E1	3,147136875E0
1,720000000E0	-1,873382965E1	3,743791213E0
1,730000000E0	-2,088044863E1	4,447379869E0
1,740000000E0	-2,299209067E1	5,247531510E0
1,750000000E0	-2,494846388E1	6,048681913E0
1,760000000E0	-2,701351167E1	7,072989193E0
1,770000000E0	-2,891885655E1	8,077645212E0
1,780000000E0	-3,074308199E1	9,244513965E0
1,790000000E0	-3,245685684E1	1,042027807E1
1,800000000E0	-3,409983367E1	1,162111900E1
1,810000000E0	-3,566560894E1	1,286221539E1
1,820000000E0	-3,712801993E1	1,408575903E1
1,830000000E0	-3,853367956E1	1,527652472E1
1,840000000E0	-3,988023189E1	1,658085321E1
1,850000000E0	-4,119371823E1	1,786274502E1
1,860000000E0	-4,247899877E1	1,912592048E1
1,870000000E0	-4,360885550E1	2,051415165E1
1,880000000E0	-4,481259613E1	2,170150201E1
1,890000000E0	-4,587882902E1	2,296631961E1
1,900000000E0	-4,688102899E1	2,425636802E1
1,910000000E0	-4,784096214E1	2,547324967E1
1,920000000E0	-4,876392057E1	2,667357589E1
1,930000000E0	-4,962091802E1	2,784409706E1
1,940000000E0	-5,043743998E1	2,898243845E1
1,950000000E0	-5,114763242E1	3,008736791E1
1,960000000E0	-5,181810163E1	3,114209999E1
1,970000000E0	-5,248964253E1	3,212357367E1
1,980000000E0	-5,308465166E1	3,309838511E1
1,990000000E0	-5,361451015E1	3,404363971E1
2,000000000E0	-5,412556605E1	3,490748577E1
2,010000000E0	-5,457150493E1	3,572286477E1
2,020000000E0	-5,500068609E1	3,649182300E1
2,030000000E0	-5,540422995E1	3,721664190E1
2,040000000E0	-5,575052374E1	3,788891050E1
2,050000000E0	-5,610542389E1	3,848571496E1
2,060000000E0	-5,636721768E1	3,904171930E1
2,070000000E0	-5,660987499E1	3,956644671E1
2,080000000E0	-5,684669641E1	3,998587157E1
2,090000000E0	-5,704705782E1	4,035103970E1
2,100000000E0	-5,720761603E1	4,066596868E1
2,110000000E0	-5,733762067E1	4,098833328E1
2,120000000E0	-5,743782789E1	4,126193443E1
2,130000000E0	-5,750972590E1	4,148338646E1
2,140000000E0	-5,756747851E1	4,162504580E1
2,150000000E0	-5,758993742E1	4,173744261E1
2,160000000E0	-5,757727308E1	4,175581355E1
2,170000000E0	-5,755710611E1	4,175707673E1
2,180000000E0	-5,753027433E1	4,172973284E1
2,190000000E0	-5,743769603E1	4,161386496E1
2,200000000E0	-5,731678978E1	4,143502675E1
2,210000000E0	-5,717550738E1	4,119035672E1
2,220000000E0	-5,700472272E1	4,090824482E1
2,230000000E0	-5,682189788E1	4,056113514E1
2,240000000E0	-5,659580298E1	4,019952888E1
2,250000000E0	-5,635331990E1	3,980991732E1
2,260000000E0	-5,610544351E1	3,933681629E1
2,270000000E0	-5,582787159E1	3,879287212E1
2,280000000E0	-5,552811538E1	3,821452052E1
2,290000000E0	-5,519946514E1	3,756798734E1
2,300000000E0	-5,486806697E1	3,684674588E1
2,310000000E0	-5,449040694E1	3,609819836E1
