mass_A
t	x	y
0,000000000E0	-6,117961821E1	5,041152723E1
1,000000000E-2	-6,108772215E1	5,032467032E1
2,000000000E-2	-6,104245339E1	5,018397188E1
3,000000000E-2	-6,092738634E1	4,996485444E1
4,000000000E-2	-6,080102468E1	4,971044415E1
5,000000000E-2	-6,066439538E1	4,940868225E1
6,000000000E-2	-6,045176207E1	4,898442128E1
7,000000000E-2	-6,023344119E1	4,857496247E1
8,000000000E-2	-5,996786286E1	4,808934596E1
9,000000000E-2	-5,969663334E1	4,752392894E1
1,000000000E-1	-5,938948705E1	4,692726049E1
1,100000000E-1	-5,908570966E1	4,623192652E1
1,200000000E-1	-5,872895292E1	4,549129048E1
1,300000000E-1	-5,831371478E1	4,474153800E1
1,400000000E-1	-5,788598258E1	4,389091083E1
1,500000000E-1	-5,743632593E1	4,301339224E1
1,600000000E-1	-5,698314602E1	4,209623572E1
1,700000000E-1	-5,648121721E1	4,109596785E1
1,800000000E-1	-5,594091430E1	4,007261028E1
1,900000000E-1	-5,535939845E1	3,894231747E1
2,000000000E-1	-5,478253734E1	3,778255819E1
2,100000000E-1	-5,415583342E1	3,657168299E1
2,200000000E-1	-5,347077783E1	3,534901330E1
2,300000000E-1	-5,275059701E1	3,405018461E1
2,400000000E-1	-5,197886867E1	3,268787685E1
2,500000000E-1	-5,118983958E1	3,132659787E1
2,600000000E-1	-5,026273398E1	2,992499551E1
2,700000000E-1	-4,935109145E1	2,848948542E1
2,800000000E-1	-4,835732066E1	2,703967476E1
2,900000000E-1	-4,733013330E1	2,551630249E1
3,000000000E-1	-4,619364812E1	2,404303849E1
3,100000000E-1	-4,498790616E1	2,249771062E1
3,200000000E-1	-4,373606517E1	2,101741442E1
3,300000000E-1	-4,232028520E1	1,948366124E1
3,400000000E-1	-4,099141294E1	1,791622034E1
3,500000000E-1	-3,951122135E1	1,636151196E1
3,600000000E-1	-3,794174406E1	1,486573512E1
3,700000000E-1	-3,632658404E1	1,336577035E1
3,800000000E-1	-3,458107837E1	1,193409117E1
3,900000000E-1	-3,274115260E1	1,056040377E1
4,000000000E-1	-3,082662166E1	9,253562055E0
4,100000000E-1	-2,877904272E1	8,029708486E0
