mass_A
t	x	y
0,000000000E0	-6,093889623E1	5,005044426E1
1,000000000E-2	-6,095997463E1	5,006985184E1
2,000000000E-2	-6,095810950E1	5,007149220E1
3,000000000E-2	-6,095630525E1	5,007218601E1
4,000000000E-2	-6,095154628E1	5,006916731E1
5,000000000E-2	-6,095197478E1	5,006556480E1
6,000000000E-2	-6,095056808E1	5,006686959E1
7,000000000E-2	-6,094399230E1	5,007216062E1
8,000000000E-2	-6,093824399E1	5,006275496E1
9,000000000E-2	-6,094694162E1	4,997602008E1
1,000000000E-1	-6,085606075E1	4,982709447E1
1,100000000E-1	-6,083463088E1	4,966593288E1
1,200000000E-1	-6,072954610E1	4,941337829E1
1,300000000E-1	-6,050780095E1	4,909104476E1
1,400000000E-1	-6,039218575E1	4,873628031E1
1,500000000E-1	-6,019712352E1	4,835340119E1
1,600000000E-1	-5,996092080E1	4,788011016E1
1,700000000E-1	-5,970656137E1	4,732004516E1
1,800000000E-1	-5,940739065E1	4,675524568E1
1,900000000E-1	-5,910788754E1	4,609152492E1
2,000000000E-1	-5,877830495E1	4,537528050E1
2,100000000E-1	-5,840065541E1	4,462735686E1
2,200000000E-1	-5,801693400E1	4,378942693E1
2,300000000E-1	-5,758947465E1	4,293755097E1
2,400000000E-1	-5,714770072E1	4,198980940E1
2,500000000E-1	-5,666872509E1	4,102113557E1
2,600000000E-1	-5,612070940E1	4,004035862E1
2,700000000E-1	-5,556286290E1	3,896053939E1
2,800000000E-1	-5,500103345E1	3,780007562E1
2,900000000E-1	-5,434746239E1	3,665932427E1
3,000000000E-1	-5,368395137E1	3,542973491E1
3,100000000E-1	-5,300081312E1	3,419973527E1
3,200000000E-1	-5,223883076E1	3,283644000E1
3,300000000E-1	-5,143118315E1	3,151631020E1
3,400000000E-1	-5,058778948E1	3,011120324E1
3,500000000E-1	-4,963737242E1	2,872503531E1
3,600000000E-1	-4,866665079E1	2,728410187E1
3,700000000E-1	-4,760799122E1	2,583388723E1
3,800000000E-1	-4,652737651E1	2,432749062E1
3,900000000E-1	-4,532986017E1	2,282804177E1
4,000000000E-1	-4,401413106E1	2,137343119E1
4,100000000E-1	-4,266974971E1	1,982274006E1
4,200000000E-1	-4,141350853E1	1,830348507E1
4,300000000E-1	-3,994495785E1	1,678557750E1
4,400000000E-1	-3,844006852E1	1,529503489E1
4,500000000E-1	-3,683307792E1	1,380267431E1
4,600000000E-1	-3,513323081E1	1,236331887E1
4,700000000E-1	-3,335340455E1	1,098115026E1
4,800000000E-1	-3,145013419E1	9,674111051E0
4,900000000E-1	-2,945746766E1	8,411978146E0
5,000000000E-1	-2,735736574E1	7,286629096E0
5,100000000E-1	-2,507606952E1	6,213327260E0
5,200000000E-1	-2,293852163E1	5,358392014E0
5,300000000E-1	-2,068703576E1	4,548891697E0
5,400000000E-1	-1,845298735E1	3,724908053E0
5,500000000E-1	-1,607580469E1	3,110928619E0
5,600000000E-1	-1,363649331E1	2,608055196E0
5,700000000E-1	-1,119708097E1	2,207520896E0
5,800000000E-1	-8,799357000E0	1,881890322E0
5,900000000E-1	-6,271581780E0	1,628408467E0
6,000000000E-1	-3,826835218E0	1,406556308E0
6,100000000E-1	-1,349426807E0	1,245813018E0
6,200000000E-1	1,146383771E0	1,188380203E0
6,300000000E-1	3,620164129E0	1,219888206E0
6,400000000E-1	6,088908748E0	1,306095671E0
6,500000000E-1	8,545764377E0	1,518719993E0
6,600000000E-1	1,105201408E1	1,753282877E0
6,700000000E-1	1,326949253E1	2,059527649E0
6,800000000E-1	1,562142828E1	2,372135816E0
6,900000000E-1	1,799813952E1	2,813832719E0
7,000000000E-1	2,033467493E1	3,353954221E0
7,100000000E-1	2,259588673E1	4,022917970E0
7,200000000E-1	2,485587739E1	4,794030418E0
7,300000000E-1	2,693593186E1	5,572768897E0
7,400000000E-1	2,918414135E1	6,477841925E0
7,500000000E-1	3,117687343E1	7,440530076E0
7,600000000E-1	3,316952718E1	8,526289358E0
7,700000000E-1	3,507759975E1	9,629823996E0
7,800000000E-1	3,690567442E1	1,082001308E1
7,900000000E-1	3,861757853E1	1,206061439E1
8,000000000E-1	4,017581072E1	1,335366669E1
8,100000000E-1	4,168707018E1	1,462202935E1
8,200000000E-1	4,317040273E1	1,591853390E1
8,300000000E-1	4,451742787E1	1,729041569E1
8,400000000E-1	4,578919177E1	1,861561844E1
8,500000000E-1	4,700368197E1	2,008495615E1
8,600000000E-1	4,817383180E1	2,135186588E1
8,700000000E-1	4,930500063E1	2,272359669E1
8,800000000E-1	5,034413787E1	2,402842808E1
8,900000000E-1	5,133779667E1	2,531704115E1
9,000000000E-1	5,226238363E1	2,658471194E1
9,100000000E-1	5,313954539E1	2,783002139E1
9,200000000E-1	5,397548482E1	2,901356366E1
9,300000000E-1	5,471579658E1	3,019322814E1
9,400000000E-1	5,541726208E1	3,132639170E1
9,500000000E-1	5,605166082E1	3,241770321E1
9,600000000E-1	5,664330188E1	3,346018418E1
9,700000000E-1	5,716618966E1	3,444207947E1
9,800000000E-1	5,769393763E1	3,536747383E1
9,900000000E-1	5,819247531E1	3,625439375E1
1,000000000E0	5,864658845E1	3,707043546E1
1,010000000E0	5,911630127E1	3,786444448E1
1,020000000E0	5,954058689E1	3,860374875E1
1,030000000E0	5,992263778E1	3,931610277E1
1,040000000E0	6,031032893E1	3,998714040E1
1,050000000E0	6,062416020E1	4,057834537E1
1,060000000E0	6,090957860E1	4,115636312E1
1,070000000E0	6,115186965E1	4,166671275E1
1,080000000E0	6,137615384E1	4,211946107E1
1,090000000E0	6,161930690E1	4,252128945E1
1,100000000E0	6,181966380E1	4,284464157E1
1,110000000E0	6,197237456E1	4,314810102E1
1,120000000E0	6,212582888E1	4,339141123E1
1,130000000E0	6,220389676E1	4,356685339E1
1,140000000E0	6,229740043E1	4,368835925E1
1,150000000E0	6,233821434E1	4,376266876E1
1,160000000E0	6,237705057E1	4,379198229E1
1,170000000E0	6,241002347E1	4,378036503E1
1,180000000E0	6,238293875E1	4,368860045E1
1,190000000E0	6,232667223E1	4,352449482E1
1,200000000E0	6,223089196E1	4,330108095E1
1,210000000E0	6,209940541E1	4,302366982E1
1,220000000E0	6,194160176E1	4,271406456E1
1,230000000E0	6,172927709E1	4,234376606E1
1,240000000E0	6,152607948E1	4,188662549E1
1,250000000E0	6,123402058E1	4,138465345E1
1,260000000E0	6,098067635E1	4,081173792E1
1,270000000E0	6,063767584E1	4,020078459E1
1,280000000E0	6,027633768E1	3,955262445E1
1,290000000E0	5,989893087E1	3,884223623E1
1,300000000E0	5,946484666E1	3,804556272E1
1,310000000E0	5,901697543E1	3,724176524E1
1,320000000E0	5,851652832E1	3,637132542E1
1,330000000E0	5,798374641E1	3,544809719E1
1,340000000E0	5,741135828E1	3,447241108E1
1,350000000E0	5,681723886E1	3,345653730E1
1,360000000E0	5,616393971E1	3,239790941E1
1,370000000E0	5,545501136E1	3,128627576E1
1,380000000E0	5,471095134E1	3,015153854E1
1,390000000E0	5,392761870E1	2,897798510E1
1,400000000E0	5,305998645E1	2,777968668E1
1,410000000E0	5,215947501E1	2,654172029E1
1,420000000E0	5,121485349E1	2,527365523E1
1,430000000E0	5,019243882E1	2,398368917E1
1,440000000E0	4,907801262E1	2,266880992E1
1,450000000E0	4,795827680E1	2,135362536E1
1,460000000E0	4,676900655E1	1,999995969E1
1,470000000E0	4,552599530E1	1,863956666E1
1,480000000E0	4,435674513E1	1,736793865E1
1,490000000E0	4,296682247E1	1,608140572E1
1,500000000E0	4,155294481E1	1,469275761E1
1,510000000E0	4,004832959E1	1,339776839E1
1,520000000E0	3,845850162E1	1,211500726E1
1,530000000E0	3,678372112E1	1,083452750E1
1,540000000E0	3,501744547E1	9,675011235E0
1,550000000E0	3,320341177E1	8,538721889E0
1,560000000E0	3,128085823E1	7,446191924E0
1,570000000E0	2,929826068E1	6,475150360E0
1,580000000E0	2,716274775E1	5,513707402E0
1,590000000E0	2,513129187E1	4,749707342E0
1,600000000E0	2,296535672E1	3,984554434E0
1,610000000E0	2,075900782E1	3,291594989E0
1,620000000E0	1,849727273E1	2,748827570E0
1,630000000E0	1,620307304E1	2,304404313E0
1,640000000E0	1,389511313E1	1,925263058E0
1,650000000E0	1,158420109E1	1,656069290E0
1,660000000E0	9,133769034E0	1,379321762E0
1,670000000E0	6,931346989E0	1,186364974E0
1,680000000E0	4,452050935E0	1,076818964E0
1,690000000E0	2,088247385E0	1,045612018E0
1,700000000E0	-2,750745666E-1	1,075910717E0
1,710000000E0	-2,620410345E0	1,203840684E0
1,720000000E0	-4,964644640E0	1,393125501E0
1,730000000E0	-7,249885741E0	1,670416625E0
1,740000000E0	-9,631155533E0	1,949233893E0
1,750000000E0	-1,194966616E1	2,272386753E0
1,760000000E0	-1,424379707E1	2,682574044E0
1,770000000E0	-1,651413744E1	3,206996230E0
1,780000000E0	-1,873016455E1	3,807498278E0
1,790000000E0	-2,082616022E1	4,547864983E0
1,800000000E0	-2,293835831E1	5,361735128E0
1,810000000E0	-2,498095143E1	6,114113723E0
1,820000000E0	-2,699249481E1	7,104658341E0
1,830000000E0	-2,892212111E1	8,105651528E0
1,840000000E0	-3,075523113E1	9,222927637E0
1,850000000E0	-3,251563870E1	1,034970307E1
1,860000000E0	-3,420101049E1	1,155334682E1
1,870000000E0	-3,576463000E1	1,281176620E1
1,880000000E0	-3,728449003E1	1,410638007E1
1,890000000E0	-3,868071131E1	1,538262146E1
1,900000000E0	-4,000893895E1	1,670527348E1
1,910000000E0	-4,129361030E1	1,801273515E1
1,920000000E0	-4,245554408E1	1,938416106E1
1,930000000E0	-4,366623924E1	2,067252945E1
1,940000000E0	-4,477062183E1	2,187158688E1
1,950000000E0	-4,583378950E1	2,309484282E1
1,960000000E0	-4,683337873E1	2,436980538E1
1,970000000E0	-4,774792597E1	2,562173334E1
1,980000000E0	-4,862015652E1	2,680428181E1
1,990000000E0	-4,941503430E1	2,799650027E1
2,000000000E0	-5,012392773E1	2,910151495E1
2,010000000E0	-5,082061047E1	3,018056889E1
2,020000000E0	-5,145809912E1	3,119551653E1
2,030000000E0	-5,203623963E1	3,220926906E1
2,040000000E0	-5,257950440E1	3,317368692E1
2,050000000E0	-5,312604519E1	3,410968967E1
2,060000000E0	-5,360862728E1	3,499378309E1
2,070000000E0	-5,404910227E1	3,582896931E1
2,080000000E0	-5,446020097E1	3,660873951E1
2,090000000E0	-5,482252518E1	3,732918837E1
2,100000000E0	-5,516494500E1	3,800582578E1
2,110000000E0	-5,549271874E1	3,861194579E1
2,120000000E0	-5,577147402E1	3,918774957E1
2,130000000E0	-5,601749003E1	3,970366255E1
2,140000000E0	-5,625401810E1	4,017726608E1
2,150000000E0	-5,648590515E1	4,056494251E1
2,160000000E0	-5,663071462E1	4,092435860E1
2,170000000E0	-5,674910142E1	4,125127926E1
2,180000000E0	-5,686397675E1	4,150426545E1
2,190000000E0	-5,696252669E1	4,169804650E1
2,200000000E0	-5,704530961E1	4,184204295E1
2,210000000E0	-5,708246671E1	4,194935205E1
2,220000000E0	-5,709622924E1	4,198733820E1
2,230000000E0	-5,709123534E1	4,198673632E1
2,240000000E0	-5,709195785E1	4,190159972E1
2,250000000E0	-5,703001496E1	4,174879530E1
2,260000000E0	-5,694393753E1	4,159570743E1
2,270000000E0	-5,683052796E1	4,136769159E1
2,280000000E0	-5,671581708E1	4,106005305E1
2,290000000E0	-5,649233189E1	4,075615606E1
2,300000000E0	-5,635462450E1	4,031601776E1
2,310000000E0	-5,612418828E1	3,986572388E1
2,320000000E0	-5,586565846E1	3,934169642E1
2,330000000E0	-5,560789395E1	3,875369531E1
2,340000000E0	-5,528934034E1	3,815768772E1
2,350000000E0	-5,492543637E1	3,751527015E1
2,360000000E0	-5,455690466E1	3,679748938E1
2,370000000E0	-5,417862246E1	3,598159020E1
2,380000000E0	-5,375867347E1	3,517489999E1
2,390000000E0	-5,324100496E1	3,428322697E1
2,400000000E0	-5,274588745E1	3,333541438E1
2,410000000E0	-5,217084454E1	3,237141872E1
2,420000000E0	-5,154965942E1	3,137941751E1
2,430000000E0	-5,092798836E1	3,030522849E1
2,440000000E0	-5,023550987E1	2,921322833E1
2,450000000E0	-4,950577033E1	2,804618382E1
2,460000000E0	-4,867927403E1	2,690897157E1
2,470000000E0	-4,783281720E1	2,570922568E1
2,480000000E0	-4,697192962E1	2,444161191E1
2,490000000E0	-4,596965632E1	2,317146866E1
2,500000000E0	-4,495106077E1	2,193874680E1
2,510000000E0	-4,383919614E1	2,076856851E1
2,520000000E0	-4,268235499E1	1,940164357E1
2,530000000E0	-4,155607542E1	1,808805710E1
2,540000000E0	-4,025744701E1	1,679621106E1
2,550000000E0	-3,890559009E1	1,548472595E1
2,560000000E0	-3,747381058E1	1,418500967E1
2,570000000E0	-3,599267341E1	1,290144940E1
2,580000000E0	-3,441384829E1	1,165292596E1
2,590000000E0	-3,275677992E1	1,045444525E1
2,600000000E0	-3,098670246E1	9,339174325E0
2,610000000E0	-2,916686949E1	8,247421635E0
2,620000000E0	-2,725427007E1	7,228229866E0
2,630000000E0	-2,527761447E1	6,394127704E0
2,640000000E0	-2,324864306E1	5,465599765E0
2,650000000E0	-2,119555922E1	4,685870229E0
2,660000000E0	-1,915784101E1	3,992398582E0
2,670000000E0	-1,697596156E1	3,376163473E0
2,680000000E0	-1,474934841E1	2,849294695E0
2,690000000E0	-1,253278942E1	2,422296309E0
2,700000000E0	-1,029044906E1	2,055272090E0
2,710000000E0	-8,111094861E0	1,854461917E0
2,720000000E0	-5,783676492E0	1,545119099E0
2,730000000E0	-3,540826694E0	1,331468356E0
2,740000000E0	-1,329913063E0	1,181617139E0
2,750000000E0	8,580888279E-1	1,087908472E0
2,760000000E0	3,106400535E0	1,076871529E0
2,770000000E0	5,377787002E0	1,118534415E0
2,780000000E0	7,655876174E0	1,236929381E0
2,790000000E0	9,736677283E0	1,398838393E0
2,800000000E0	1,210346679E1	1,602995531E0
