mass_A
t	x	y
0,000000000E0	-6,117961821E1	5,017080525E1
1,000000000E-2	-6,117313725E1	5,017769784E1
2,000000000E-2	-6,114998188E1	5,013392344E1
3,000000000E-2	-6,111930044E1	5,001874434E1
4,000000000E-2	-6,098037867E1	4,983211235E1
5,000000000E-2	-6,088931698E1	4,960378889E1
6,000000000E-2	-6,078423061E1	4,931432104E1
7,000000000E-2	-6,062169864E1	4,895092880E1
8,000000000E-2	-6,041326732E1	4,850461042E1
9,000000000E-2	-6,019798322E1	4,804467224E1
1,000000000E-1	-5,994021797E1	4,751767535E1
1,100000000E-1	-5,964980365E1	4,693371081E1
1,200000000E-1	-5,934175730E1	4,630153322E1
1,300000000E-1	-5,900412259E1	4,559566344E1
1,400000000E-1	-5,865042086E1	4,486755330E1
1,500000000E-1	-5,827898807E1	4,404694365E1
1,600000000E-1	-5,783859373E1	4,319052720E1
1,700000000E-1	-5,738189292E1	4,226001380E1
1,800000000E-1	-5,690510562E1	4,128421993E1
1,900000000E-1	-5,636582251E1	4,025027328E1
2,000000000E-1	-5,583630271E1	3,918482949E1
2,100000000E-1	-5,525929606E1	3,808790450E1
2,200000000E-1	-5,465602903E1	3,691814738E1
2,300000000E-1	-5,397422763E1	3,568760493E1
2,400000000E-1	-5,330035477E1	3,441146188E1
2,500000000E-1	-5,256091649E1	3,311682872E1
2,600000000E-1	-5,175253078E1	3,176067921E1
2,700000000E-1	-5,093283923E1	3,036443881E1
2,800000000E-1	-5,000506408E1	2,896422177E1
2,900000000E-1	-4,901939356E1	2,751912004E1
3,000000000E-1	-4,799970266E1	2,608926433E1
3,100000000E-1	-4,691935343E1	2,453673596E1
3,200000000E-1	-4,571780608E1	2,304290699E1
3,300000000E-1	-4,444908348E1	2,161180799E1
3,400000000E-1	-4,316537874E1	1,998608007E1
3,500000000E-1	-4,182674418E1	1,857400813E1
3,600000000E-1	-4,035814475E1	1,703706942E1
3,700000000E-1	-3,885474467E1	1,549938287E1
3,800000000E-1	-3,724254055E1	1,403501157E1
3,900000000E-1	-3,555249044E1	1,259109817E1
4,000000000E-1	-3,377301591E1	1,119317686E1
4,100000000E-1	-3,188381276E1	9,841106009E0
4,200000000E-1	-2,993666197E1	8,636708830E0
4,300000000E-1	-2,786587719E1	7,470727674E0
4,400000000E-1	-2,571967661E1	6,622722096E0
4,500000000E-1	-2,343997610E1	5,560744909E0
4,600000000E-1	-2,111878180E1	4,687019158E0
4,700000000E-1	-1,885675860E1	3,890453908E0
4,800000000E-1	-1,643791007E1	3,220929220E0
4,900000000E-1	-1,400935730E1	2,705262529E0
5,000000000E-1	-1,156868329E1	2,286539899E0
5,100000000E-1	-9,091236826E0	1,933741815E0
5,200000000E-1	-6,587694414E0	1,641941567E0
5,300000000E-1	-4,157410642E0	1,408927726E0
5,400000000E-1	-1,700750243E0	1,223646152E0
5,500000000E-1	7,187431799E-1	1,177673971E0
5,600000000E-1	3,141775749E0	1,179444464E0
5,700000000E-1	5,531941961E0	1,222881531E0
5,800000000E-1	7,971416413E0	1,324129403E0
5,900000000E-1	1,043095513E1	1,681440410E0
6,000000000E-1	1,284488190E1	1,828757370E0
6,100000000E-1	1,524463182E1	2,155926465E0
6,200000000E-1	1,763705965E1	2,577579067E0
6,300000000E-1	1,996747396E1	3,128845642E0
