mass_A
t	x	y
0,000000000E0	-6,117961821E1	5,017080525E1
1,000000000E-2	-6,119639829E1	5,018219965E1
2,000000000E-2	-6,119710156E1	5,018001634E1
3,000000000E-2	-6,119381394E1	5,018378808E1
4,000000000E-2	-6,119555454E1	5,018368913E1
5,000000000E-2	-6,119005975E1	5,018564613E1
6,000000000E-2	-6,119127323E1	5,018501431E1
7,000000000E-2	-6,119519349E1	5,018404256E1
8,000000000E-2	-6,119681334E1	5,018245310E1
9,000000000E-2	-6,119650610E1	5,018087997E1
1,000000000E-1	-6,119094633E1	5,018092446E1
1,100000000E-1	-6,117116239E1	5,017986267E1
1,200000000E-1	-6,116102684E1	5,008738345E1
1,300000000E-1	-6,108971595E1	4,994401706E1
1,400000000E-1	-6,104688974E1	4,979298421E1
1,500000000E-1	-6,091917273E1	4,955721261E1
1,600000000E-1	-6,070762905E1	4,922067817E1
1,700000000E-1	-6,052869400E1	4,886697363E1
1,800000000E-1	-6,035327910E1	4,847305211E1
1,900000000E-1	-6,008789672E1	4,801019959E1
2,000000000E-1	-5,980921526E1	4,748390888E1
2,100000000E-1	-5,950470985E1	4,691151034E1
2,200000000E-1	-5,922270839E1	4,623275665E1
2,300000000E-1	-5,887850129E1	4,551942847E1
2,400000000E-1	-5,849363641E1	4,475519679E1
2,500000000E-1	-5,812032526E1	4,393109066E1
2,600000000E-1	-5,768445902E1	4,306595345E1
2,700000000E-1	-5,722527122E1	4,212978200E1
2,800000000E-1	-5,672826620E1	4,115109449E1
2,900000000E-1	-5,622368973E1	4,009633827E1
3,000000000E-1	-5,568101541E1	3,902369645E1
3,100000000E-1	-5,507470162E1	3,788277117E1
3,200000000E-1	-5,445666966E1	3,668242066E1
3,300000000E-1	-5,379766221E1	3,542881534E1
3,400000000E-1	-5,310854626E1	3,416119865E1
3,500000000E-1	-5,236974706E1	3,282914722E1
3,600000000E-1	-5,153786764E1	3,151000621E1
3,700000000E-1	-5,069046722E1	3,008725558E1
3,800000000E-1	-4,974072226E1	2,870021271E1
3,900000000E-1	-4,876079127E1	2,725600011E1
4,000000000E-1	-4,771611852E1	2,581174333E1
4,100000000E-1	-4,663004050E1	2,430139918E1
4,200000000E-1	-4,544118072E1	2,278334289E1
4,300000000E-1	-4,414177132E1	2,133616299E1
